Genus,Species,Family,Diet,Habitat,HI,JLB,MZW
Muntiacus,reevesi,Cervidae,Om,CH,1.12,1.84,0.61
Nemorhaedus,goral,Bovidae,MF,OH,4.03,1.59,0.52
Neotragus,moschatus,Bovidae,Br,MH,3.51,1.78,0.45
Odocoileus,hemionus,Cervidae,Br,MH,1.59,2.02,0.64
Odocoileus,virginianus,Cervidae,Br,MH,1.23,2.09,0.63
Okapia,johnstoni,Giraffidae,HBr,CH,1.18,2.6,0.56
Oreamnos,americanus,Bovidae,MF,OH,2.76,1.48,0.53
Oreotragus,oreotragus,Bovidae,MF,OH,3.82,1.42,0.43
Oryx,gazella,Bovidae,MF,OH,3.37,1.6,0.63
Oryx,leucoryx,Bovidae,Gr,OH,,,
Ourebia,ourebi,Bovidae,MF,OH,3.8,1.64,0.49
Ovibos,moschatus,Bovidae,MF,OH,3.69,1.48,0.57
Ovis,Canadensis,Bovidae,MF,OH,4.11,1.5,0.49
Ovis,dalli,Bovidae,MF,OH,4.08,1.52,0.56
Ovis,canadensis,Bovidae,Gr,OH,,,
Ovis,orientalis,Bovidae,MF,MH,,,
Ozotoceros,bezoarticus,Cervidae,MF,OH,2.12,1.5,0.47
Pantholops,hodgsonii,Bovidae,MF,OH,4.56,1.68,0.59
Pecari,tajacu,Tayassuidae,Om,CH,1.23,1.74,0.61
Pelea,capreolus,Bovidae,Br,OH,4.01,1.71,0.45
Phacochoerus,aethiopicus,Suidae,Gr,OH,3.99,1.4,0.7
Potamochoerus,porcus,Suidae,Om,CH,1.34,1.47,0.6
Procapra,gutturosa,Bovidae,MF,OH,3.9,1.48,0.52
Pseudois,nayeur,Bovidae,MF,OH,5.3,1.54,0.53
Pudu,mephistopheles,Cervidae,Br,CH,1.61,1.71,0.58
Pudu,puda,Cervidae,Br,CH,1.62,1.65,0.51
Rangifer,tarandus,Cervidae,MF,MH,1.52,2.38,0.88
Raphicerus,campestris,Bovidae,MF,OH,3.44,1.48,0.44
Raphicerus,melanotis,Bovidae,MF,MH,2.64,1.57,0.49
Raphicerus,sharpei,Bovidae,Br,MH,,,
Redunca,arundinum,Bovidae,Gr,MH,3.59,2.24,0.63
Redunca,fulvorufula,Bovidae,Gr,OH,3.79,2.04,0.61
Rhinoceros,sondaicus,Rhinocerotidae,Br,CH,1.72,1.81,0.67
Rhinoceros,unicornis,Rhinocerotidae,MF,MH,1.59,1.43,0.67
Rupicapra,rupicapra,Bovidae,MF,OH,4.19,1.61,0.52
Saiga,tatarica,Bovidae,MF,OH,5.29,1.29,0.43
Sus,scrofa,Suidae,Om,CH,1.28,1.41,
Sylvicapra,grimmia,Bovidae,Br,MH,2.97,1.95,0.54
Syncerus,caffer,Bovidae,Gr,MH,3.82,1.98,1.03
Tapirus,bairdii,Tapiridae,Br,MH,0.89,2.15,0.74
Tapirus,indicus,Tapiridae,Br,CH,0.76,2.02,0.63
Tapirus,pinchaque,Tapiridae,MF,MH,1.31,2.07,0.66
Tapirus,terrestris,Tapiridae,Br,CH,0.92,1.9,0.59
Tayassu,pecari,Tayassuidae,Om,CH,1,1.7,0.85
Tetracerus,quadricornis,Bovidae,MF,MH,3.77,1.9,0.56
Taurotragus,oryx,Bovidae,MF,MH,2.91,1.59,0.65
Tragelaphus,angasi,Bovidae,Br,MH,2.52,1.91,0.61
Tragelaphus,buxtoni,Bovidae,Br,CH,1.95,1.78,0.63
Tragelaphus,eurycerus,Bovidae,MF,CH,1.92,1.63,0.72
Tragelaphus,imberbis,Bovidae,MF,MH,2.18,1.69,0.62
Tragelaphus,scriptus,Bovidae,Br,MH,2.54,2.03,0.69
Tragelaphus,spekii,Bovidae,MF,MH,2.9,1.83,0.62
Tragelaphus,strepsiceros,Bovidae,Br,MH,2.29,1.67,0.66
Tragulus,javanicus,Tragulidae,Br,CH,1.47,1.53,0.54
Tragulus,meminna,Tragulidae,Br,CH,1.72,1.57,0.53
Tragulus,napu,Tragulidae,Br,CH,1.67,1.72,0.61
Vicugna,vicugna,Camelidae,MF,OH,4.33,1.42,0.45
