Genus,species,subspecies,binomial,current,common,h_l,h_w,u_l,u_w,f_l,f_w,t_l,t_w,m_l,m_w
Ourebia,ourebi,NA,Ourebia ourebi,Ourebia ourebi,Oribis,108,11.6,146,10.2,152,14.0,186,14.0,142,11.8
Ourebia,ourebi,NA,Ourebia ourebi,Ourebia ourebi,Oribis,127,14.1,172,12.0,173,16.0,208,15.3,154,13.7
Ovibos,moschatus,NA,Ovibos moschatus,Ovibos moschatus,Musk ox,274,42.2,332,31.8,301,29.0,291,28.0,164,21.6
Ovis,ammon,NA,Ovis ammon,Ovis ammon,Marco Polo sheep,235,34.1,328,24.4,281,26.5,350,23.8,240,21.5
Ovis,aries,NA,Ovis aries,Ovis aries,Domestic sheep,156,22.7,208,17.5,187,20.3,209,15.2,141,12.4
Ovis,aries,NA,Ovis aries,Ovis aries,Domestic sheep,129,17.4,172,12.3,154,14.5,183,11.6,127,10.5
Ovis,aries,NA,Ovis aries,Ovis aries,Domestic sheep,143,24.4,193,19.8,171,20.5,200,19.5,119,11.5
Ovis,aries,NA,Ovis aries,Ovis aries,Domestic sheep,137,18.9,184,11.0,165,16.5,198,12.5,137,10.1
Ovis,canadensis,NA,Ovis canadensis,Ovis canadensis,Mountain sheep,207,31.0,274,25.2,256,25.1,303,22.6,180,16.4
Ovis,canadensis,NA,Ovis canadensis,Ovis canadensis,Mountain sheep,212,28.0,278,22.9,255,21.8,303,19.3,181,14.9
Ovis,dalli,NA,Ovis dalli,Ovis dalli,Dall sheep,164,23.2,220,16.4,222,18.7,241,18.2,160,12.3
Ovis,vignei,NA,Ovis vignei,Ovis vignei,NA,177,22.7,247,28.0,211,29.7,265,19.8,190,15.3
Redunca,redunca,NA,Redunca redunca,Redunca redunca,Reedbuck,178,20.0,245,15.7,235,19.5,280,22.2,NA,NA
Rhaphicerus,campestris,NA,Rhaphicerus campestris,Raphicerus campestris,Steinbok,109,11.9,148,10.4,147,12.3,186,11.3,137,11.8
Rhynchotragus,guntheri,NA,Rhynchotragus guntheri,Madoqua guntheri,Damara dik-dik,87,8.3,113,6.1,106,8.0,143,9.0,104,7.1
Rupicapra,rupicapra,NA,Rupicapra rupicapra,Rupicapra rupicapra,Chamois,186,19.1,229,15.0,214,16.6,266,14.5,175,12.2
Saiga,tatarica,NA,Saiga tatarica,Saiga tatarica,Tibetan saiga,168,22.0,227,15.0,196,17.8,223,15.6,158,12.6
Strepsiceros,imberbis,NA,Strepsiceros imberbis,Tragelaphus imberbis,Lesser kudu,211,26.0,290,19.6,276,25.4,314,27.4,267,21.4
Strepsiceros,strepsiceros,NA,Strepsiceros strepsiceros,Tragelaphus strepsiceros,Greater kudu,292,40.5,390,30.8,366,33.0,406,31.0,286,24.0
Sylvicapra,grimmia,NA,Sylvicapra grimmia,Sylvicapra grimmia,Gray duiker,123,12.7,157,8.2,154,13.0,181,12.7,142,10.8
Sylvicapra,grimmia,NA,Sylvicapra grimmia,Sylvicapra grimmia,Gray duiker,111,11.9,130,11.3,139,10.6,158,12.3,NA,NA
Syncerus,caffer,NA,Syncerus caffer,Syncerus caffer,African buffalo,306,51.3,399,50.5,375,45.3,378,40.1,177,26.2
Taurotragus,oryx,NA,Taurotragus oryx,Tragelaphus oryx,Oryx,324,45.0,404,43.9,390,24.7,393,32.1,260,25.2
