Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,LogMass,Combined Mass (g),Comments,Reference,IUCN status,Diet Category,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,callipygus,4.261,18249.879,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,dorsalis,4.301,20000.000,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,harveyi,4.161,14500.067,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,jentinki,4.845,70000.316,"hunting, habitat loss",65,VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,leucogaster,4.104,12699.891,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Philantomba,maxwellii,4.079,11999.966,hunting,"63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Philantomba,monticola,3.796,6250.000,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,natalensis,4.079,11999.966,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,niger,4.310,20399.992,hunting,60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,nigrifrons,4.143,13899.846,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,ogilbyi,4.301,20000.000,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,rubidus,4.176,14999.957,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,rufilatus,4.079,11999.966,hunting,"63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,silvicultor,4.860,72500.333,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,spadix,4.748,56000.254,"hunting, habitat loss, restricted range","63, 70",LR,,,,,,,,,,,,,,,
AF,Zaire,extant,Artiodactyla,Bovidae,Cephalophus,weynsi,4.230,17000.000,"hunting, habitat loss",164,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Cephalophus,zebra,4.243,17500.079,"hunting, habitat loss",65,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Cervus,albirostris,5.097,125000.000,"hunting, invasive competitors",68,VU,,,,,,,,,,,,,,,
Insular,Philippines,extant,Artiodactyla,Cervidae,Cervus,alfredi,4.677,47500.000,,202,EN,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Cervus,duvaucelii,5.155,143000.000,"hunting, habitat loss",68,VU,,,,,,,,,,,,,,,
EA/NAm/AF,,extant,Artiodactyla,Cervidae,Cervus,elaphus,5.251,180187.804,,"60,65,111,114",,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Rucervus,eldii,4.863,73000.000,"hunting, habitat loss",68,VU,,,,,,,,,,,,,,,
Insular,Philippines,extant,Artiodactyla,Cervidae,Cervus,mariannus,4.699,50000.000,hunting,136,DD,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Cervus,nippon,4.724,53000.000,Added in by KJ and ME,68,,,,,,,,,,,,,,,,
Insular,Borneo,extant,Artiodactyla,Cervidae,Cervus,timorensis,4.799,63000.000,,"59, 118",,,,,,,,,,,,,,,,
Insular,Borneo,extant,Artiodactyla,Cervidae,Rusa,timorensis,4.799,63000.000,,"59, 118",,,,,,,,,,,,,,,,
EA/Insular,SriLanka/Borneo,extant,Artiodactyla,Cervidae,Rusa,unicolor,5.253,180344.444,,59118132133,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Connochaetes,gnou,5.255,179998.962,"habitat loss, drought",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gorgon,taurinus,5.255,179998.962,"hunting, habitat loss, parasites/pathogens","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Connochaetes,taurinus,5.255,179998.962,"hunting, habitat loss, parasites/pathogens","63, 70",LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Dama,dama,4.750,56250.000,,111,,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Dama,mesopotamica,4.860,72500.000,,http://www.ultimateungulate.com/Artiodactyla/Dama_mesopotamica.html,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Beatragus,hunteri,4.903,80000.002,"hunting, habitat loss, drought, pathogens/parasites","63, 70",CR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Damaliscus,lunatus,5.134,136000.342,"hunting, habitat loss, drought, changes in competitors, parasites/pathogens","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Damaliscus,pygargus,5.009,102000.000,changes in native spp. Dynamics,75,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Dorcatragus,megalotis,4.011,10249.909,habitat loss,65,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Elaphodus,cephalophus,4.525,33500.000,hunting,68,DD,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Elaphurus,davidianus,5.173,149000.000,Added in by KJ and ME,68,CR,,,,,,,,,,,,,,,
EA,Iran to NW India,extant,Artiodactyla,Bovidae,Gazella,bennettii,4.277,18916.667,"hunting, habitat loss",133,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,dama,4.863,72999.519,"hunting, habitat loss",60,EN,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,dorcas,4.362,23000.115,"hunting, habitat loss",65,VU,,,,,,,,,,,,,,,
AF/EA,,extant,Artiodactyla,Bovidae,Gazella,gazella,4.357,22749.935,,combined,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,granti,4.740,54999.659,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,leptoceros,4.346,22200.000,"hunting, low densities",75,EN,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,rufifrons,4.431,26999.766,"hunting, habitat loss",60,VU,,,,,,,,,,,,,,,
EA,"Saudi Arabia, Kuwait, S. Iraq (extinct in wild)",extant,Artiodactyla,Bovidae,Gazella,saudiya,4.204,16000.000,,143,EW,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Nanger,soemmerringii,4.602,40000.001,"hunting, habitat loss","63, 70",VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,spekei,4.301,20000.000,habitat loss,65,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Gazella,subgutturosa,4.455,28500.000,"hunting, habitat loss",91,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Gazella,thomsonii,4.312,20499.818,hunting,"63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Giraffidae,Giraffa,camelopardalis,5.954,899994.800,habitat loss,"63, 70",LR,,,,,,,,,,,,,,,
EA,India,extant,Artiodactyla,Bovidae,Hemitragus,hylocrius,4.875,75000.000,"hunting, habitat loss",136,EN,,,,,,,,,,,,,,,
EA,"Oman, United Arab Emirates",extant,Artiodactyla,Bovidae,Hemitragus,jayakari,4.362,23000.000,"hunting, habitat loss, changes in native competitors/parasites/pathogens",136,EN,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Hemitragus,jemlahicus,4.547,35200.000,"hunting, habitat loss, changes in native competitors",68,VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,5.371,235001.157,"hunting, habitat loss",60,VU,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Hippocamelus,antisensis,4.836,68599.350,"hunting, habitat loss, invasive predators, competitors & pathogens",61,DD,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Hippocamelus,bisulcus,4.845,70000.316,"hunting, habitat loss, invasive predators, competitors & pathogens",61,EN,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,6.152,1417489.988,,"63, 70",,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Hippotragus,equinus,5.431,269997.660,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Hippotragus,niger,5.357,227499.266,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Cervidae,Hydropotes,inermis,4.146,14000.000,Added in by KJ and ME,68,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,4.035,10850.007,"hunting, habitat loss",60,DD,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,5.275,188500.000,,116,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,5.322,210000.341,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Kobus,kob,4.895,78500.062,"hunting, civil war","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Kobus,leche,5.044,110749.048,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Kobus,megaceros,4.942,87500.392,"hunting, habitat loss, civil war",65,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Kobus,vardonii,4.854,71500.652,"hunting, low densities","63, 70",LR,,,,,,,,,,,,,,,
SA,"S Peru, W Bolivia, NW Argentina",extant,Artiodactyla,Camelidae,Lama,glama,5.154,142500.000,"Lama, not alpaca","136, 141",,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Camelidae,Lama,guanicoe,5.079,120000.000,,61,,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Camelidae,Lama,pacos,4.778,60000.000,Added in by KJ and ME,68,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Litocranius,walleri,4.580,37999.685,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Madoqua,guentheri,3.875,7499.978,,"63, 70",,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Madoqua,kirkii,3.724,5300.050,,"63, 70",,,,,,,,,,,,,,,,
AF,Somalia,extant,Artiodactyla,Bovidae,Madoqua,piacentinii,3.398,2500.000,"hunting, habitat loss",70,VU,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Madoqua,saltiana,3.512,3249.975,,65,,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Cervidae,Mazama,americana,4.358,22799.746,,60,DD,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Mazama,bricenii,4.217,16499.850,,61,,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Mazama,chunyi,4.217,16499.850,hunting,61,DD,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Mazama,gouazoupira,4.212,16300.090,,61,DD,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Mazama,nana,4.217,16499.850,,61,DD,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Mazama,rufina,4.415,25999.800,,60,LR,,,,,,,,,,,,,,,
EA/Insular,SriLanka/Borneo,extant,Artiodactyla,Tragulidae,Tragulus,meminna,3.462,2938.141,,combined,,,,,,,,,,,,,,,,
EA/Insular,SriLanka/Borneo,extant,Artiodactyla,Tragulidae,Moschiola,meminna,3.462,2938.141,,combined,,,,,,,,,,,,,,,,
EA,"S&C China, Tibet, N Vietnam",extant,Artiodactyla,Moschidae,Moschus,berezovskii,3.954,9000.000,,172,LR,,,,,,,,,,,,,,,
EA,"Himalayas of N. Afghanistan, N Pakistan, N India & Nepal, C tibet to C China",extant,Artiodactyla,Moschidae,Moschus,chrysogaster,4.161,14500.000,,147,LR,,,,,,,,,,,,,,,
EA,"China, Tibet, Burma, India, Bhutan, Nepal",extant,Artiodactyla,Moschidae,Moschus,fuscus,1.097,12.500,,http://animaldiversity.ummz.umich.edu/site/accounts/information/Moschus_fuscus.html,LR,,,,,,,,,,,,,,,
